BaseCurrency,WantedCurrency,rate,ValidityTime
CNY,SGD,0.2012,09:00
SGD,CNY,4.8988,09:00
CNY,USD,0.161,09:00
USD,CNY,6.2035,09:00
AUD,USD,0.992,09:00
USD,AUD,1.0075,09:00
SGD,AUD,0.8505,09:00
AUD,SGD,1.1688,09:00
USD,EUR,0.7233,09:00
EUR,USD,1.3868,09:00
SGD,EUR,0.5758,09:00
EUR,SGD,1.7313,09:00
SGD,USD,0.8224,09:30
USD,SGD,1.2573,09:30
CNY,SGD,0.2013,11:00
SGD,CNY,4.8895,11:00
CNY,USD,0.1611,11:00
USD,CNY,6.1987,11:00
AUD,USD,0.991,11:00
USD,AUD,1.0125,11:00
USD,EUR,0.7108,11:00
EUR,USD,1.4025,11:00
SGD,AUD,0.8501,11:30
AUD,SGD,1.1704,11:30
SGD,USD,0.8226,12:30
USD,SGD,1.2568,12:30
SGD,EUR,0.5759,12:00
EUR,SGD,1.731,12:00
CNY,SGD,0.2112,13:00
SGD,CNY,4.8938,13:00
CNY,USD,0.181,13:00
USD,CNY,6.1035,13:00
AUD,USD,0.972,13:00
USD,AUD,1.0275,13:00
SGD,AUD,0.8605,13:00
AUD,SGD,1.1888,13:00
USD,EUR,0.7533,13:00
EUR,USD,1.3968,13:00
SGD,EUR,0.5458,13:00
EUR,SGD,1.6313,13:00
SGD,USD,0.8924,13:00
USD,SGD,1.2473,13:00
CNY,SGD,0.2512,13:30
SGD,CNY,4.6938,13:30
CNY,USD,0.221,13:30
USD,CNY,6.6035,13:30
AUD,USD,0.872,13:30
USD,AUD,1.1275,13:30
SGD,AUD,0.8905,13:30
AUD,SGD,1.2588,13:30
USD,EUR,0.7833,13:30
EUR,USD,1.4568,13:30
SGD,EUR,0.5958,13:30
EUR,SGD,1.5813,13:30
SGD,USD,0.6024,13:30
USD,SGD,1.3573,13:30
CNY,SGD,0.3012,15:00
SGD,CNY,4.8238,15:00
CNY,USD,0.191,15:00
USD,CNY,6.7535,15:00
AUD,USD,0.972,15:00
USD,AUD,1.2675,15:00
SGD,AUD,0.7605,15:00
AUD,SGD,1.3288,15:00
USD,EUR,0.8633,15:00
EUR,USD,1.2668,15:00
SGD,EUR,0.6358,15:00
EUR,SGD,1.5313,15:00
SGD,USD,0.5424,15:00
USD,SGD,1.6373,15:00
CNY,SGD,0.3012,16:00
SGD,CNY,4.7288,16:00
CNY,USD,0.191,16:00
USD,CNY,6.2035,16:00
AUD,USD,0.992,16:00
USD,AUD,1.1075,16:00
SGD,AUD,0.8705,16:00
AUD,SGD,1.1728,16:00
USD,EUR,0.8633,16:00
EUR,USD,1.5268,16:00
SGD,EUR,0.6358,16:00
EUR,SGD,1.5013,16:00
SGD,USD,0.6924,16:30
USD,SGD,1.3273,16:30
CNY,SGD,0.2813,18:00
SGD,CNY,4.7095,18:00
CNY,USD,0.1911,18:00
USD,CNY,6.3087,18:00
AUD,USD,0.901,18:00
USD,AUD,1.1025,18:00
USD,EUR,0.6308,18:00
EUR,USD,1.6225,18:00
SGD,AUD,0.7001,18:30
AUD,SGD,1.1904,18:30
SGD,USD,0.9226,19:30
USD,SGD,1.3668,19:30
SGD,EUR,0.6359,20:00
EUR,SGD,1.631,20:00
CNY,SGD,0.4212,21:00
SGD,CNY,4.7638,21:00
CNY,USD,0.161,21:00
USD,CNY,6.0735,21:00
AUD,USD,0.682,21:00
USD,AUD,1.1075,21:00
SGD,AUD,0.7405,21:00
AUD,SGD,1.1388,21:00
USD,EUR,0.6233,21:00
EUR,USD,1.4668,21:00
SGD,EUR,0.3858,21:00
EUR,SGD,1.9613,21:00
SGD,USD,0.6024,21:00
USD,SGD,1.6373,21:00
CNY,SGD,0.3612,21:30
SGD,CNY,4.9638,21:30
CNY,USD,0.521,21:30
USD,CNY,6.4435,21:30
AUD,USD,0.962,21:30
USD,AUD,1.1875,21:30
SGD,AUD,0.5405,21:30
AUD,SGD,1.3888,21:30
USD,EUR,0.8433,21:30
EUR,USD,1.5668,21:30
SGD,EUR,0.3258,21:30
EUR,SGD,1.2613,21:30
SGD,USD,0.7524,21:30
USD,SGD,1.4273,21:30
CNY,SGD,0.3912,23:00
SGD,CNY,4.5638,23:00
CNY,USD,0.291,23:00
USD,CNY,6.6035,23:00
AUD,USD,0.792,23:00
USD,AUD,1.5675,23:00
SGD,AUD,0.6805,23:00
AUD,SGD,1.4888,23:00
USD,EUR,0.7033,23:00
EUR,USD,1.2968,23:00
SGD,EUR,0.5058,23:00
EUR,SGD,1.4013,23:00
SGD,USD,0.6824,23:00
USD,SGD,1.5973,23:00